         72476276 function calls (68459571 primitive calls) in 36.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      429    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
        1    0.000    0.000    0.018    0.018 pyi_generator.py:1(<module>)
        1    0.000    0.000    0.018    0.018 pyi_generator.py:87(Formatter)
        1    0.000    0.000    0.018    0.018 evolution.py:1(<module>)
      485    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
      170    0.000    0.000    0.016    0.000 _itertools.py:4(unique_everseen)
   340970    0.015    0.000    0.015    0.000 grid.py:294(<lambda>)
     1329    0.007    0.000    0.015    0.000 backends.py:218(__new__)
   340970    0.015    0.000    0.015    0.000 grid.py:303(<lambda>)
      429    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
   142592    0.014    0.000    0.014    0.000 grid_entry.py:92(is_connected_to)
      466    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      466    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
        2    0.000    0.000    0.013    0.007 parser.py:1(<module>)
     3340    0.006    0.000    0.013    0.000 enum.py:342(__setitem__)
    98013    0.013    0.000    0.013    0.000 {method 'get' of 'mappingproxy' objects}
   106740    0.013    0.000    0.013    0.000 {method 'add' of 'set' objects}
    17242    0.006    0.000    0.013    0.000 grid.py:46(set_occupied)
        1    0.000    0.000    0.013    0.013 backends.py:118(_set_configs_from_environment)
       50    0.003    0.000    0.013    0.000 grid.py:381(get_connection_graph)
   119372    0.012    0.000    0.012    0.000 grid_entry.py:174(is_inserter)
        2    0.000    0.000    0.012    0.006 layout.py:1(<module>)
      685    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
      200    0.001    0.000    0.012    0.000 graph.py:1592(copy)
    26256    0.007    0.000    0.011    0.000 _pvector.py:188(extend)
       64    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
     1523    0.008    0.000    0.010    0.000 grid.py:339(_get_center_cord)
     3046    0.003    0.000    0.010    0.000 grid.py:287(get_x_cord)
       54    0.000    0.000    0.010    0.000 _compiler.py:590(_code)
        1    0.010    0.010    0.010    0.010 main_window.py:259(_setup_file_layout)
     6093    0.010    0.000    0.010    0.000 {method 'union' of 'set' objects}
     1490    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.009    0.009 fitness.py:1(<module>)
    19262    0.007    0.000    0.009    0.000 graph_to_matrix.py:110(<genexpr>)
  1450/54    0.003    0.000    0.009    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.009    0.009 parser.py:116(__init__)
      994    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
        1    0.000    0.000    0.008    0.008 fitness_aspect.py:1(<module>)
       17    0.000    0.000    0.008    0.000 dataclasses.py:1431(wrap)
    38515    0.008    0.000    0.008    0.000 grid_entry.py:120(__init__)
       17    0.001    0.000    0.008    0.000 dataclasses.py:986(_process_class)
     1260    0.002    0.000    0.008    0.000 decorators.py:762(__call__)
        1    0.000    0.000    0.008    0.008 grid.py:1(<module>)
        1    0.000    0.000    0.008    0.008 hill_climbing.py:1(<module>)
      429    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.008    0.008 evolution_algorithm.py:1(<module>)
      338    0.004    0.000    0.007    0.000 __init__.py:334(__new__)
    71122    0.007    0.000    0.007    0.000 grid.py:166(_find_movable_id)
      201    0.003    0.000    0.007    0.000 graph_to_matrix.py:343(_get_vertical_positions)
7856/3928    0.005    0.000    0.007    0.000 _pvector.py:222(_do_set)
     3811    0.004    0.000    0.007    0.000 {built-in method _heapq.heapify}
      200    0.003    0.000    0.006    0.000 move_subgraph_mutation.py:76(_get_connection_pairs)
    82816    0.006    0.000    0.006    0.000 enum.py:1305(__deepcopy__)
        1    0.000    0.000    0.006    0.006 move_building_mutation.py:1(<module>)
     1523    0.001    0.000    0.006    0.000 used_block_aspect.py:7(evaluate)
     2842    0.003    0.000    0.006    0.000 enum.py:1041(_add_member_)
      168    0.000    0.000    0.006    0.000 __init__.py:488(entry_points)
    18827    0.004    0.000    0.006    0.000 reportviews.py:190(__getitem__)
      338    0.001    0.000    0.006    0.000 __init__.py:924(_normalized_name)
        1    0.000    0.000    0.006    0.006 main_window.py:387(_compute_recipe)
    38515    0.006    0.000    0.006    0.000 grid.py:176(__setitem__)
        1    0.000    0.000    0.006    0.006 graph_to_matrix.py:1(<module>)
     4509    0.002    0.000    0.006    0.000 _pvector.py:345(_mutating_insert_tail)
        2    0.000    0.000    0.006    0.003 json_matrix_representation.py:161(encode)
     3046    0.002    0.000    0.006    0.000 grid.py:296(get_y_cord)
     1523    0.005    0.000    0.005    0.000 grid.py:320(get_used_block)
     6052    0.002    0.000    0.005    0.000 cancellation.py:13(raise_if_cancelled)
        1    0.000    0.000    0.005    0.005 prettytable.py:1(<module>)
    54471    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
      475    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
      496    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:419(__enter__)
        2    0.000    0.000    0.005    0.003 reflection.py:35(discover_subclasses)
    38777    0.005    0.000    0.005    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 traceback.py:1(<module>)
     3216    0.004    0.000    0.005    0.000 graph_to_matrix.py:435(_get_node_path_data)
    33926    0.005    0.000    0.005    0.000 grid.py:585(<genexpr>)
    17242    0.003    0.000    0.005    0.000 grid_entry.py:144(add_surrounding)
      200    0.003    0.000    0.005    0.000 digraph.py:500(add_nodes_from)
        1    0.000    0.000    0.005    0.005 decorators.py:1(<module>)
        2    0.001    0.000    0.005    0.002 __init__.py:120(dump)
     1600    0.003    0.000    0.004    0.000 random.py:460(choices)
        1    0.001    0.001    0.004    0.004 factory_loader.py:16(load)
      856    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
     1490    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.004    0.001 reflection.py:69(_discover_directory)
      830    0.000    0.000    0.004    0.000 inspect.py:298(isgeneratorfunction)
    16138    0.003    0.000    0.004    0.000 _parser.py:261(get)
       17    0.000    0.000    0.004    0.000 dataclasses.py:478(add_fns_to_class)
     3837    0.001    0.000    0.004    0.000 output.py:29(_report)
    26256    0.004    0.000    0.004    0.000 _pvector.py:110(_fill_list)
     1859    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     4509    0.002    0.000    0.004    0.000 _pvector.py:317(_create_new_root)
      324    0.000    0.000    0.004    0.000 graph_to_matrix.py:611(get_vectors_with_smallest_manhattan_distance)
      830    0.001    0.000    0.004    0.000 inspect.py:285(_has_code_flag)
     1947    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        2    0.004    0.002    0.004    0.002 {method 'resize' of 'PySide6.QtWidgets.QWidget' objects}
      162    0.000    0.000    0.004    0.000 graph_to_matrix.py:602(smallest_vector_between_sets_is_canonical)
      200    0.002    0.000    0.004    0.000 digraph.py:748(add_edges_from)
    33781    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
     3382    0.000    0.000    0.004    0.000 encoder.py:426(_iterencode)
      101    0.000    0.000    0.004    0.000 output.py:20(low)
      105    0.004    0.000    0.004    0.000 {method 'emit' of 'PySide6.QtCore.SignalInstance' objects}
        1    0.000    0.000    0.004    0.004 plugin_configuration.py:29(discover_mutations)
    35360    0.004    0.000    0.004    0.000 graph_to_matrix.py:987(get_orientation_in_opposite_direction)
      168    0.000    0.000    0.004    0.000 __init__.py:907(read_text)
    35561    0.004    0.000    0.004    0.000 grid_entry.py:69(__init__)
     5368    0.003    0.000    0.004    0.000 enum.py:811(__setattr__)
     3819    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
    18459    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.004    0.001 __init__.py:278(load)
        1    0.000    0.000    0.003    0.003 _colorize.py:1(<module>)
     6500    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
     7208    0.002    0.000    0.003    0.000 reportviews.py:428(__call__)
      762    0.002    0.000    0.003    0.000 grid.py:75(add_source)
    34111    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.003    0.003 traveling_salesman.py:1(<module>)
     2646    0.002    0.000    0.003    0.000 digraph.py:677(add_edge)
      201    0.001    0.000    0.003    0.000 graph_to_matrix.py:225(_normalize_topological_ordering)
     2954    0.002    0.000    0.003    0.000 grid.py:155(_get_movable_id)
      885    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:635(cached)
11576/3382    0.002    0.000    0.003    0.000 encoder.py:339(_iterencode_dict)
      872    0.001    0.000    0.003    0.000 {built-in method builtins.sorted}
     3941    0.001    0.000    0.003    0.000 {built-in method builtins.delattr}
      429    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     1490    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6041    0.002    0.000    0.003    0.000 mutation.py:33(stop_requested)
        5    0.000    0.000    0.003    0.001 __init__.py:304(loads)
    35561    0.003    0.000    0.003    0.000 graph_to_matrix.py:976(get_enumeration_to_orientation)
      456    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        5    0.000    0.000    0.003    0.001 decoder.py:340(decode)
    26297    0.003    0.000    0.003    0.000 {built-in method from_iterable}
      429    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        5    0.003    0.001    0.003    0.001 decoder.py:351(raw_decode)
        1    0.000    0.000    0.003    0.003 main_window.py:371(_import_recipes)
     3221    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
     1490    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      202    0.001    0.000    0.003    0.000 {built-in method _io.open}
     1440    0.002    0.000    0.003    0.000 grid.py:410(_erase_building)
      530    0.001    0.000    0.003    0.000 _compiler.py:248(_optimize_charset)
    20561    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
      168    0.000    0.000    0.003    0.000 __init__.py:780(read_text)
      557    0.000    0.000    0.003    0.000 __init__.py:251(__str__)
