         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.017    0.017 pyi_generator.py:87(Formatter)
      426    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
      482    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.017    0.017 factory_processor.py:1(<module>)
   341278    0.016    0.000    0.016    0.000 grid.py:294(<lambda>)
        1    0.000    0.000    0.015    0.015 evolution.py:1(<module>)
   341278    0.015    0.000    0.015    0.000 grid.py:303(<lambda>)
      426    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
     1329    0.007    0.000    0.014    0.000 backends.py:218(__new__)
      168    0.000    0.000    0.014    0.000 _itertools.py:4(unique_everseen)
   142592    0.014    0.000    0.014    0.000 grid_entry.py:92(is_connected_to)
      463    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      463    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
    98013    0.013    0.000    0.013    0.000 {method 'get' of 'mappingproxy' objects}
       50    0.003    0.000    0.013    0.000 grid.py:381(get_connection_graph)
   106780    0.013    0.000    0.013    0.000 {method 'add' of 'set' objects}
    17242    0.006    0.000    0.013    0.000 grid.py:46(set_occupied)
     3340    0.006    0.000    0.013    0.000 enum.py:342(__setitem__)
        2    0.000    0.000    0.013    0.006 parser.py:1(<module>)
   119456    0.013    0.000    0.013    0.000 grid_entry.py:174(is_inserter)
      200    0.001    0.000    0.012    0.000 graph.py:1592(copy)
      674    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        2    0.000    0.000    0.011    0.006 layout.py:1(<module>)
    26131    0.007    0.000    0.011    0.000 _pvector.py:188(extend)
        1    0.011    0.011    0.011    0.011 main_window.py:259(_setup_file_layout)
     1525    0.008    0.000    0.011    0.000 grid.py:339(_get_center_cord)
       64    0.011    0.000    0.011    0.000 {built-in method builtins.compile}
     3050    0.003    0.000    0.010    0.000 grid.py:287(get_x_cord)
     6101    0.010    0.000    0.010    0.000 {method 'union' of 'set' objects}
       54    0.000    0.000    0.010    0.000 _compiler.py:590(_code)
        1    0.000    0.000    0.010    0.010 backends.py:118(_set_configs_from_environment)
     1485    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.009    0.009 fitness.py:1(<module>)
    19262    0.007    0.000    0.009    0.000 graph_to_matrix.py:108(<genexpr>)
  1450/54    0.003    0.000    0.009    0.000 _compiler.py:39(_compile)
      993    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
        1    0.000    0.000    0.009    0.009 parser.py:116(__init__)
    38368    0.009    0.000    0.009    0.000 grid_entry.py:120(__init__)
        1    0.000    0.000    0.008    0.008 fitness_aspect.py:1(<module>)
        1    0.000    0.000    0.008    0.008 grid.py:1(<module>)
     1260    0.002    0.000    0.007    0.000 decorators.py:762(__call__)
    70828    0.007    0.000    0.007    0.000 grid.py:166(_find_movable_id)
      426    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:947(get_data)
       17    0.000    0.000    0.007    0.000 dataclasses.py:1431(wrap)
       17    0.000    0.000    0.007    0.000 dataclasses.py:986(_process_class)
      201    0.003    0.000    0.007    0.000 graph_to_matrix.py:341(_get_vertical_positions)
      334    0.004    0.000    0.007    0.000 __init__.py:334(__new__)
        1    0.000    0.000    0.006    0.006 traceback.py:1(<module>)
      200    0.003    0.000    0.006    0.000 move_subgraph_mutation.py:76(_get_connection_pairs)
     3811    0.004    0.000    0.006    0.000 {built-in method _heapq.heapify}
    82816    0.006    0.000    0.006    0.000 enum.py:1305(__deepcopy__)
     1525    0.001    0.000    0.006    0.000 used_block_aspect.py:7(evaluate)
    18848    0.004    0.000    0.006    0.000 reportviews.py:190(__getitem__)
      166    0.000    0.000    0.006    0.000 __init__.py:488(entry_points)
    38368    0.006    0.000    0.006    0.000 grid.py:176(__setitem__)
     2842    0.002    0.000    0.006    0.000 enum.py:1041(_add_member_)
     3050    0.002    0.000    0.006    0.000 grid.py:296(get_y_cord)
     1525    0.005    0.000    0.006    0.000 grid.py:320(get_used_block)
        1    0.000    0.000    0.006    0.006 hill_climbing.py:1(<module>)
     6052    0.002    0.000    0.005    0.000 cancellation.py:13(raise_if_cancelled)
6136/3068    0.004    0.000    0.005    0.000 _pvector.py:222(_do_set)
        2    0.000    0.000    0.005    0.003 json_matrix_representation.py:161(encode)
        1    0.000    0.000    0.005    0.005 evolution_algorithm.py:1(<module>)
    38825    0.005    0.000    0.005    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 prettytable.py:1(<module>)
    54601    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.005    0.003    0.005    0.003 {method 'resize' of 'PySide6.QtWidgets.QWidget' objects}
      492    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:419(__enter__)
      472    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
     3782    0.001    0.000    0.005    0.000 _pvector.py:345(_mutating_insert_tail)
        1    0.000    0.000    0.005    0.005 decorators.py:1(<module>)
     3216    0.004    0.000    0.005    0.000 graph_to_matrix.py:433(_get_node_path_data)
    34070    0.005    0.000    0.005    0.000 grid.py:585(<genexpr>)
      334    0.000    0.000    0.005    0.000 __init__.py:924(_normalized_name)
      200    0.003    0.000    0.005    0.000 digraph.py:500(add_nodes_from)
    17242    0.003    0.000    0.005    0.000 grid_entry.py:144(add_surrounding)
        2    0.001    0.000    0.005    0.002 __init__.py:120(dump)
     1600    0.003    0.000    0.004    0.000 random.py:460(choices)
        1    0.000    0.000    0.004    0.004 main_window.py:387(_compute_recipe)
    26131    0.004    0.000    0.004    0.000 _pvector.py:110(_fill_list)
     1485    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.004    0.004 main_window.py:371(_import_recipes)
      850    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
      162    0.000    0.000    0.004    0.000 graph_to_matrix.py:600(smallest_vector_between_sets_is_canonical)
    16138    0.003    0.000    0.004    0.000 _parser.py:261(get)
     3837    0.001    0.000    0.004    0.000 output.py:29(_report)
        1    0.000    0.000    0.004    0.004 move_building_mutation.py:1(<module>)
      324    0.000    0.000    0.004    0.000 graph_to_matrix.py:609(get_vectors_with_smallest_manhattan_distance)
     1837    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      830    0.000    0.000    0.004    0.000 inspect.py:298(isgeneratorfunction)
     1925    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.004    0.002 reflection.py:35(discover_subclasses)
      200    0.002    0.000    0.004    0.000 digraph.py:748(add_edges_from)
       17    0.000    0.000    0.004    0.000 dataclasses.py:478(add_fns_to_class)
      830    0.001    0.000    0.004    0.000 inspect.py:285(_has_code_flag)
    33823    0.004    0.000    0.004    0.000 {method 'append' of 'collections.deque' objects}
      101    0.000    0.000    0.004    0.000 output.py:20(low)
     3382    0.000    0.000    0.004    0.000 encoder.py:426(_iterencode)
     3782    0.002    0.000    0.004    0.000 _pvector.py:317(_create_new_root)
        1    0.000    0.000    0.004    0.004 graph_to_matrix.py:1(<module>)
    35414    0.004    0.000    0.004    0.000 grid_entry.py:69(__init__)
